instance_id,class_id,size,distribution,capacity_level,seed,method,status,feasible,objective_value,runtime_seconds,open_sites,iterations,initial_objective,error
medium_uniform_tight_001,medium_uniform_tight,medium,uniform,tight,202607201,greedy,success,True,5.702523276294308,0.007251299990457483,s12;s20;s27;s5;s7,,,
medium_uniform_tight_001,medium_uniform_tight,medium,uniform,tight,202607201,local_search,success,True,5.702523276294308,0.014568999991752207,s12;s20;s27;s5;s7,0,5.702523276294308,
medium_uniform_tight_002,medium_uniform_tight,medium,uniform,tight,202607202,greedy,success,True,6.894048438683631,0.006886599992867559,s14;s26;s27;s28;s7,,,
medium_uniform_tight_002,medium_uniform_tight,medium,uniform,tight,202607202,local_search,success,True,6.894048438683631,0.014448100002482533,s14;s26;s27;s28;s7,0,6.894048438683631,
medium_uniform_tight_003,medium_uniform_tight,medium,uniform,tight,202607203,greedy,success,True,6.25625747124788,0.007383099989965558,s15;s16;s2;s23;s25,,,
medium_uniform_tight_003,medium_uniform_tight,medium,uniform,tight,202607203,local_search,success,True,6.25625747124788,0.014718600010382943,s15;s16;s2;s23;s25,0,6.25625747124788,
medium_uniform_tight_004,medium_uniform_tight,medium,uniform,tight,202607204,greedy,success,True,9.15730603399085,0.007266599990543909,s1;s14;s2;s23;s30,,,
medium_uniform_tight_004,medium_uniform_tight,medium,uniform,tight,202607204,local_search,success,True,9.15730603399085,0.013842800006386824,s1;s14;s2;s23;s30,0,9.15730603399085,
medium_uniform_tight_005,medium_uniform_tight,medium,uniform,tight,202607205,greedy,success,True,6.677530414521945,0.006802400006563403,s12;s19;s2;s22;s5,,,
medium_uniform_tight_005,medium_uniform_tight,medium,uniform,tight,202607205,local_search,success,True,6.677530414521945,0.013828499999362975,s12;s19;s2;s22;s5,0,6.677530414521945,
medium_uniform_medium_001,medium_uniform_medium,medium,uniform,medium,202617201,greedy,success,True,8.686722906985716,0.006844899995485321,s10;s18;s20;s22;s24,,,
medium_uniform_medium_001,medium_uniform_medium,medium,uniform,medium,202617201,local_search,success,True,8.686722906985716,0.013605000000097789,s10;s18;s20;s22;s24,0,8.686722906985716,
