scope,variant,instances,feasible_instances,feasibility_rate_percent,known_optimum_instances,optimal_instances,optimal_rate_known_percent,gap_mean_percent,gap_median_percent,gap_max_percent,runtime_mean_seconds,runtime_max_seconds
overall,Greedy,90,80,88.88888888888889,89,75,84.26966292134831,1.0716167920712951,0.0,36.783409725923306,0.25101620888906634,0.7147332000022288
overall,Greedy + 1-swap,90,80,88.88888888888889,89,75,84.26966292134831,1.0716167920712951,0.0,36.783409725923306,0.6517718844440726,2.8887763999955496
overall,GRASP-VND seed 42,90,90,100.0,89,85,95.50561797752809,0.31631582113508055,0.0,13.384936823847198,2.283051995555191,20.000338199999533
overall,GRASP-VND best-of-5,90,90,100.0,89,85,95.50561797752809,0.2229641744517513,0.0,13.384936823847198,11.747364992222154,100.00207679999585
medium,Greedy,30,29,96.66666666666667,30,26,86.66666666666667,1.629659599660061,0.0,18.708261786169093,0.007063069998791095,0.0076841999980388
medium,Greedy + 1-swap,30,29,96.66666666666667,30,26,86.66666666666667,1.629659599660061,0.0,18.708261786169093,0.03747091666688595,0.7115567000000738
medium,GRASP-VND seed 42,30,30,100.0,30,29,96.66666666666667,0.44616456079490663,0.0,13.384936823847198,0.09982455999949401,2.300635300009162
medium,GRASP-VND best-of-5,30,30,100.0,30,29,96.66666666666667,0.44616456079490663,0.0,13.384936823847198,0.4947731866700147,10.86364130002039
large,Greedy,30,27,90.0,30,26,86.66666666666667,1.36234850836753,0.0,36.783409725923306,0.09697723333374594,0.1030979999923147
large,Greedy + 1-swap,30,27,90.0,30,26,86.66666666666667,1.36234850836753,0.0,36.783409725923306,0.3153899899989483,1.4437997999921208
large,GRASP-VND seed 42,30,30,100.0,30,29,96.66666666666667,0.07802587018315903,0.0,2.3407761054947707,1.22181003333244,9.06606450000254
large,GRASP-VND best-of-5,30,30,100.0,30,29,96.66666666666667,0.07802587018315903,0.0,2.3407761054947707,6.7414048733310965,43.11266189998423
xlarge,Greedy,30,24,80.0,29,23,79.3103448275862,0.07024188540160617,0.0,1.685805249638548,0.649008323334662,0.7147332000022288
xlarge,Greedy + 1-swap,30,24,80.0,29,23,79.3103448275862,0.07024188540160617,0.0,1.685805249638548,1.6024547466663839,2.8887763999955496
xlarge,GRASP-VND seed 42,30,30,100.0,29,27,93.10344827586206,0.42849638454069666,0.0,11.351367623740126,5.52752139333364,20.000338199999533
xlarge,GRASP-VND best-of-5,30,30,100.0,29,27,93.10344827586206,0.1420033998918585,0.0,3.0430710689238203,28.00591691666535,100.00207679999585
