size,instances,incumbents,certified_optima,runtime_mean_seconds,runtime_max_seconds,solver_mean_seconds,solver_max_seconds
large,30,30,30,2.3671759233344347,12.049973899993349,2.0900666666666665,11.828
medium,30,30,30,0.5759849299982307,4.689474399987375,0.2484333333333333,0.953
xlarge,30,30,29,11.934441583332955,61.3917541999981,11.497866666666669,61.016000000000005
